Column_or_Row_Name,Unit,Definition,Data_Type,Term_Type,Missing_Value_Code,Reported_Precision
13C,N/A,Number of 13-Carbon atoms assigned to a peak.,numeric,column_header,-9999,1
15N,N/A,Number of 15-Nitrogen atoms assigned to a peak.,text,column_header,N/A,1
18O,N/A,Number of 18-Oxygen atoms assigned to a peak.,numeric,column_header,-9999,1
33S,N/A,Number of 33-Sulfur atoms assigned to a peak.,numeric,column_header,-9999,1
34S,N/A,Number of 34-Sulfur atoms assigned to a peak.,numeric,column_header,-9999,1
AI,N/A,"Aromaticity index calculated as per Koch and Dittmar (2006, 2016).",numeric,column_header,-9999,0.00000001
AI_Mod,N/A,"Modified aromaticity index calculated as per Koch and Dittmar (2006, 2016).",numeric,column_header,-9999,0.000000001
bs1_class,N/A,"Boundaries used to assign compound classes to molecular formula. Boundary sets 1 are Van Krevelen-based (Kim et al., 2003).",text,column_header,N/A,-9999
bs2_class,N/A,"Boundaries used to assign compound classes to molecular formula. Boundary sets 2 are Van Krevelen-based (Bailey et al., 2017).",text,column_header,N/A,-9999
bs3_class,N/A,"Boundaries used to assign compound classes to molecular formula. Boundary sets  3 further integrate stoichiometry to assign modified compound classes (Rivas-Urbach et al., 2018).",text,column_header,N/A,-9999
C,N/A,Carbon atoms in the analyzed molecule. Identified by an algorithm in Kujawinski and Behn (2006) and modified as described in Tfaily et al. (2017).,numeric,column_header,-9999,1
Calculated_Mass,mass to charge ratio,Calculated ionic mass for the assigned molecular formula. The units of mass to charge ratio is commonly denoted as m/z.,numeric,column_header,-9999,0.0001
Calibrated_Mass,mass to charge ratio,Ionic mass of a peak after calibration in CoreMS. The units of mass to charge ratio is commonly denoted as m/z.,numeric,column_header,-9999,0.00001
Calibration_Order,N/A,"Order of the polynomial function used during calibration in CoreMS (1 = linear, 2 = quadratic).",numeric,column_header,-9999,1
Calibration_Points,N/A,Number of calibration points used during calibration in CoreMS.,numeric,column_header,-9999,1
Calibration_RMSE,N/A,Root mean square error (RMSE) of the calibration in CoreMS.,numeric,column_header,-9999,0.00000001
Calibration_Threshold,N/A,Threshold of acceptable number of calibration points set for the automated calibration function in our CoreMS pipeline.,numeric,column_header,-9999,0.1
Column_or_Row_Name,N/A,Column or row headers from each tabular file (csv or tsv) in the dataset.,text,column_header,N/A,-9999
Column_or_Row_Name_Position,N/A,"The location of the column or row that contains the header names (i.e., column name or row name). The count used to identify the location assumes the numbering begins at 1 (rather than 0) and excludes columns or rows that begin with ""#"". Most data in this data package is oriented in columns, so this field indicates the tabular location of the row that holds the column names (e.g., If row 1 has the column headers, row 2 has the units, and row 3 has the data values, then this value would be 1 - to indicate the location of the column header row).",numeric,column_header,-9999,1
Confidence_Score,N/A,"Value (0-1) given by CoreMS to the assigned molecular formula with 1 being the highest confidence (e.g., approximate likelihood of being accurate).",numeric,column_header,-9999,0.0000001
Data_Type,N/A,Type of data (numeric; text; date; time; datetime).,text,column_header,N/A,-9999
DBE,N/A,"Double bond equivalent or degree of unsaturation calculated as per Koch and Dittmar (2006, 2016).",numeric,column_header,-9999,1
DBE_1,N/A,"Double bond equivalent or degree of unsaturation calculated as per Koch and Dittmar (2006, 2016).",numeric,column_header,-9999,1
DBE_AI,N/A,"The minimum number of C-C double bonds plus rings in a common molecular structure containing heteroatoms. Calculated as per Koch and Dittmar (2006, 2016).",numeric,column_header,-9999,1
DBE_O,N/A,"Double bond equivalent minus Oxygen calculated as per Koch and Dittmar (2006, 2016).",numeric,column_header,-9999,1
Definition,N/A,Description of the information in a given column or row in the dataset.,text,column_header,N/A,-9999
delGcox0PerCmol,kJ per C mol,Gibbs free energy of the carbon oxidation half reaction under standard conditions (pH = 0). Calculated as  per LaRowe and Van Cappellen (2011).,numeric,column_header,-9999,0.0000001
delGcoxPerCmol,kJ per C mol,Gibbs free energy of the carbon oxidation half reaction at pH 7. Calculated as per Song et al. (2020).,numeric,column_header,-9999,0.00001
delGd,kJ per Compound mol,Gibbs free energy of the carbon oxidation half reaction per compound mol at pH 7. Calculated as per Song et al. (2020).,numeric,column_header,-9999,0.0001
delGd0,kJ per Compound mol,Gibbs free energy of the carbon oxidation half reaction per compound mol at pH 0. Calculated as per Song et al. (2020).,numeric,column_header,-9999,0.1
Error_ppm,parts per million,Parts per million error calculated as [expected molecular mass - measured molecular mass]/expected molecular mass * 1e6).,numeric,column_header,-9999,0.000000001
Error_Score,N/A,Value (0-1) given by CoreMS to the individual peaks that determines whether the error was acceptable with 1 being acceptable.,numeric,column_header,-9999,0.0000001
File_Description,N/A,A brief description of the files in the data package.,text,column_header,N/A,-9999
File_Name,N/A,Name of files in the data package.,text,column_header,N/A,-9999
File_Path,N/A,File path within the data package.,text,column_header,N/A,-9999
GFE,kJ per C mol,Gibbs free energy of the carbon oxidation half reaction under standard conditions. Calculated as per LaRowe and Van Cappellen (2011).,numeric,column_header,-9999,0.0000001
H,N/A,Hydrogen atoms in the analyzed molecule. Identified by an algorithm in Kujawinski and Behn (2006) and modified as described in Tfaily et al. (2017).,numeric,column_header,-9999,1
